--------------------------------------------------------------------------------
Начало расчёта 10/27/24 22:23:31
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1500
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 0.7180460180220869
Внешнее сопротивление, Ом = 0.4383333333333333
Сопротивление обмотки, Ом = 0.2797126846887536
Количество витков = 204.0900370367453
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 15.74708021033639
Длина катушки, мм = 30
Внешний диаметр катушки, мм = 39.12000000000001
Индуктивность катушки в стартовой позиции, микроГенри = 427.1034035315997
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 10
Масса пули без оперения, г = 11.76212289504018
Длина пули, мм = 30
Диаметр пули, мм = 8
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 11.76212289504018
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 4120.000000000008
Интервал расчёта,  микросекунд =40
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 5.881061447520089e-005
  Энергия пули  конечная, Дж = 2.568480603982704
  Приращение энергии пули, Дж = 2.568421793368229
  Энергия конденсатора начальная, Дж = 151.875
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 151.875
  КПД, % = 1.691141921559328
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 20.89826763460732
Максимальая скорость пули, (в катушк), м/с = 21.63375607395477
Средняя сила, Н = 58.80571632744903
Конец расчёта 10/27/24 22:26:59
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
42.84860684062483	448.85737048425	1.55672161369424e-007	0.1000000005294016	0.004	40	
81.84050724268174	446.6749569577785	4.499399394184573	0.1153013179338707	0.008000000021176063	80	
118.344697566573	443.5190983560032	16.31479947261853	0.1707838175411418	0.01261205273853089	120	
153.1539778937025	439.4349922788378	28.7757297868987	0.2686427841364756	0.01944340544017656	160	
185.3837099386025	434.4914266804751	39.75806991371474	0.403849907097178	0.03018911680563559	200	
214.9406966166953	428.7596747706965	49.72379560737721	0.5729479382981429	0.04634311308952271	240	
241.9263665333089	422.3083049964749	58.80356332129717	0.7729239591101456	0.06926103062144842	280	
266.3756258028359	415.204954975066	67.19213501916288	1.001427386998988	0.1001779889858542	320	
288.3892377934027	407.5145753005753	74.96773188310031	1.256373649853332	0.1402350844658138	359.9999999999999	
308.1249368625138	399.2979103175749	81.68822303833015	1.534174600471783	0.190490030459947	399.9999999999999	
325.667169725483	390.6134524582287	88.05512548909481	1.833627773253121	0.2518570144788184	439.9999999999999	
341.0737383869969	381.5181527679088	93.84431105703662	2.152768499445018	0.3252021254089431	479.9999999999999	
354.5542094081538	372.063373850358	99.43801028733816	2.490931979540159	0.4113128653867438	520	
366.0873381317614	362.301044833511	104.3313791285593	2.845736567315904	0.5109501445683502	560	
375.855531458405	352.2782306612869	108.6613167859203	3.215266176062775	0.6247796072609863	600	
383.9850836793427	342.0386284298378	113.1947902378992	3.600212979451918	0.7533902543034973	640	
390.4992774254969	331.6253143651579	117.8126720651089	4.0008640289824	0.8973987734815739	679.9999999999999	
395.5651591796359	321.0769101203676	122.2412121083074	4.416575421217058	1.05743333464087	719.9999999999999	
399.2436873090655	310.4304117921258	125.6475372098268	4.843870862120195	1.234096351489552	759.9999999999999	
401.5560070673386	299.7222516036634	129.22481222475	5.283331709036668	1.42785118597436	799.9999999999999	
